State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
3400,04/24/2021,16.1,-1.67,3.49,20.3,18.6,20.3,-31.5,26.1,33.2
3600,04/24/2021,13.1,-3.84,-33.4,17.2,15.6,5.28,-35.4,25,33.2
4400,04/24/2021,13.1,-7.84,-13.3,11,7.2,30.3,45.7,14.2,19
900,04/25/2021,8.47,5.39,-32,13.2,22.9,-7.26,-43.2,24.3,25.3
2500,04/25/2021,14.1,12.3,-0.785,25.8,23.9,10.2,-31.9,29.4,34.8
3400,04/25/2021,16,-3.09,1.53,21.7,25.3,17.9,-33.5,29.1,32.8
3600,04/25/2021,13.5,-3.06,-34.9,18.3,20.9,4.03,-35.1,26.7,31.3
4400,04/25/2021,16.1,-4.65,-10.7,16.3,9.73,36,-4.89,17.5,24.3
900,04/26/2021,11.8,9.25,-31.6,20.1,31.6,-13.2,-43.5,32.3,32.6
2500,04/26/2021,14.9,11.1,-1.89,27.7,30.2,15.5,-34.5,33,35.4
3400,04/26/2021,17.6,-2.58,3.23,27.2,33.7,13.9,-33.4,36,38.1
3600,04/26/2021,15.1,-0.993,-34.3,25.1,28.1,2.64,-36.4,33.3,37.2
4400,04/26/2021,19.6,-3.89,-7.29,12.1,14.9,72.3,-23,20.1,22.8
900,04/27/2021,11.2,7.99,-30.9,20.6,37.3,-6.45,-39.9,32.5,29.4
2500,04/27/2021,15.6,7,-6.43,32.2,39.6,12.2,-30,38.4,36.8
3400,04/27/2021,17.6,-3.41,3.15,30.5,41.5,11.3,-34,40,39
3600,04/27/2021,14.9,-1.7,-35.4,26.1,33.7,3.03,-36.5,35.8,36.8
4400,04/27/2021,16.6,-6.53,-4.55,8.67,23,57.6,-1.76,22.7,19.3
900,04/28/2021,6.84,5.31,-31.1,10.3,23,-5.94,-43.7,20.9,19.5
2500,04/28/2021,10,2.34,-15.4,20.7,21.6,14.7,-31.4,24.3,26.7
3400,04/28/2021,13.3,-4.12,1.82,19.4,28.2,9.74,-35,28.6,29.2
3600,04/28/2021,10.8,-3.09,-36.3,16,21.6,2.6,-37.2,24.9,27.2
4400,04/28/2021,7.19,-8.12,-42.9,2.81,9.28,60.5,-10.3,12.8,14.1
900,04/29/2021,8.52,6.32,-30,12.9,21.5,3.32,-44,21.7,21.8
2500,04/29/2021,8.48,0.962,-14.6,20.5,21.8,10.5,-30.9,24.2,26.1
3400,04/29/2021,13.9,-1.41,4.58,21.3,25.7,6.38,-33.9,28.4,31
3600,04/29/2021,11,-1.77,-33.6,18,20.4,6.24,-37.1,25.6,29.4
4400,04/29/2021,6.17,-10.7,-37.8,3.02,11.7,-1.64,-12.3,13.1,12.8
900,04/30/2021,10.7,5.22,-23.9,16,21.4,9.8,-43.6,23.5,24.9
2500,04/30/2021,9.71,0.0852,-9.01,22.2,23.8,6.43,-33.3,24.8,25.2
3400,04/30/2021,14.9,1.04,8.23,22.7,24.7,7.61,-32.6,28.6,32.2
3600,04/30/2021,11.7,-0.781,-29.6,19.8,19.5,5.38,-35.7,25.8,30.6
4400,04/30/2021,9.06,-12,-41,5.44,11,-18.5,15.1,22.5,32.9
900,05-01-2021,11.2,5.71,-23,19.3,22.5,17.8,-43.3,24.9,26.5
2500,05-01-2021,11.4,-0.504,-11.7,25,25.1,12.4,-29.6,28.3,31.2
3400,05-01-2021,15.3,3.36,0.283,26.7,24.6,4.72,-29.9,30.9,36.6
3600,05-01-2021,12.5,1.02,-27.5,24,20,6.03,-34,27.5,33.4
4400,05-01-2021,8.86,-11.5,-39.9,11.9,10.5,-29.6,18,26.9,42.9
900,05-02-2021,12.3,7.06,-24.6,22.6,22.9,18.2,-44.5,27.7,30.8
2500,05-02-2021,11.9,1.57,-12,25.2,25.9,13.2,-31.3,30.6,35.2
3400,05-02-2021,15.7,6.29,3.85,26.2,22.6,6.79,-28.2,30.2,37
3600,05-02-2021,12.8,2.87,-26.4,24.7,19,6.21,-34.3,28.3,35.8
4400,05-02-2021,11.9,-6.85,-41,16,14.1,-38.7,54.3,30.5,45.9
900,05-03-2021,13.1,6.6,-18,23,24.4,25,-42.9,27.7,29.8
2500,05-03-2021,12.1,0.0212,-10.2,24.4,26,18.9,-30.4,29.6,32.9
3400,05-03-2021,16.3,6.37,5.69,26.6,22.1,6.48,-25.3,29.5,36.1
3600,05-03-2021,13.7,3.12,-23.7,24.9,19,6.92,-32.5,28.1,35.5
4400,05-03-2021,15.5,-6.83,-39.1,27.4,13,-44.2,44.3,40.3,67.6
900,05-04-2021,14.2,5.9,-18.6,23.5,22.6,20.5,-43.5,27.9,31.4
2500,05-04-2021,14.1,1.66,-11.1,26.6,28.1,26.2,-28,30.9,33.4
3400,05-04-2021,17.9,6.09,7.33,28.3,22.8,9.52,-23.3,30.2,36.8
3600,05-04-2021,15,2.11,-21.8,25.4,20.2,7.27,-30,29.3,36.8
4400,05-04-2021,24.7,-10.1,-40.3,27.5,14.2,-39.8,24.7,65.2,120
900,05-05-2021,15.6,7.02,-17.6,25,23.1,24.9,-41.7,28.8,32.4
2500,05-05-2021,14.2,0.433,-12.3,27,28.9,22.8,-28.3,30.6,31.9
3400,05-05-2021,18.8,6.2,10.1,29.4,23.6,9.52,-19.5,31.1,37.8
3600,05-05-2021,15.7,1.97,-20.3,26,20.9,10.2,-28.4,30.1,37.6
4400,05-05-2021,24.2,-10.1,-42.1,29,13.9,-26.6,26.8,59.3,105
900,05-06-2021,14.6,5.84,-17.8,22.6,21.6,18.2,-38.5,27.2,30.9
2500,05-06-2021,15.8,-0.461,-4.6,27.1,27.9,24.7,-28.6,30.6,33
3400,05-06-2021,18.2,4.05,10.8,29.3,22.7,8.12,-20.9,31.1,38.5
3600,05-06-2021,15.4,1.39,-16.3,23.8,19.8,7.08,-29,28.6,35.8
4400,05-06-2021,21.3,-11,-39.4,31.6,11.6,-5.04,21.6,62,110
900,05-07-2021,13.2,4.4,-18.8,20.7,21.7,14.8,-41.1,26.6,29.7
2500,05-07-2021,15.8,-1.35,-4.52,28.7,27.2,25.5,-32.6,31.3,34.9
3400,05-07-2021,18.2,1.87,10.8,30.8,22.4,6.05,-20.6,31.6,39.7
3600,05-07-2021,15.9,0.238,-14.7,23.7,19.3,9.2,-29.5,28.7,36.4
4400,05-07-2021,14.1,-16.4,-45.2,17.7,14.3,-12.9,6.22,53.1,87
900,05-08-2021,14.8,1.43,-16.4,21.9,24.7,14.1,-42.3,28.4,30.7
2500,05-08-2021,17,-0.892,0.154,29.4,29.6,25.2,-36.4,32.2,34.5
3400,05-08-2021,20,1.49,21.1,31.8,26.2,9.56,-20.6,33.2,39.5
3600,05-08-2021,16.5,-0.926,-12.2,24.4,21.9,13.3,-28.2,29.6,35.8
4400,05-08-2021,16.1,-19.5,-43.9,23.1,19.9,1.53,2.76,54.3,82.4
900,05-09-2021,13.9,2.94,-14.5,17.3,21.7,12.5,-43.8,24.6,26.6
2500,05-09-2021,16.6,0.568,-1.42,27.3,25.2,26.3,-38.9,28.4,31.4
3400,05-09-2021,19.2,3.43,19.4,29.6,23.1,7.49,-21.8,29.8,35.9
3600,05-09-2021,15.3,0.869,-11.9,21,18.6,11.7,-27.3,25.4,30.9
4400,05-09-2021,11.1,-21,-40.5,17.7,15.3,8.16,-6.35,46.7,72
900,05-10-2021,12.6,5.1,-20.1,16.8,18.2,9.77,-47,22.1,24.6
2500,05-10-2021,15.9,2.32,-5.13,28,24.2,22,-41.3,27.2,29.9
3400,05-10-2021,18.3,5.63,16,29.4,21.6,7.69,-21,28.5,34.6
3600,05-10-2021,13.8,0.911,-15.7,20.1,17.8,11,-29.9,24.1,29
4400,05-10-2021,9.23,-21.2,-48.5,16.1,15.1,23.1,4.24,37.8,55.5
900,05-11-2021,12.7,6.85,-23.7,17.3,17.1,9.13,-43.2,21.8,24.9
2500,05-11-2021,14.1,2.45,-4.44,29,21,15.7,-43.9,24.8,28.4
3400,05-11-2021,16.8,6.69,15.1,26.6,18.2,4.7,-22,25.2,31.4
3600,05-11-2021,12.4,1.65,-14.7,19.1,15.1,12.3,-30.2,20.9,25.5
4400,05-11-2021,-1.72,-21.9,-54.7,18.2,11.3,33.2,5.03,11.8,9.14
900,05-12-2021,12.4,2.73,-19.6,18.5,17.3,2.93,-40.9,22.9,26.6
2500,05-12-2021,15.4,0.285,0.885,33,23.1,15.4,-40.7,28.2,33
3400,05-12-2021,17.5,2.33,17.2,30.6,20,4.68,-23.3,28.1,35.3
3600,05-12-2021,13.4,-1.47,-10.5,22.3,17,9.39,-29.7,23.5,28.5
4400,05-12-2021,0.434,-27.4,-43.4,19.2,15.2,9.87,-11.8,17.9,18
900,05/13/2021,13.1,4.53,-18.3,18.9,18.6,3.98,-42.5,24.4,28.2
2500,05/13/2021,15.5,1.85,0.566,33.2,23.4,17.3,-40.4,27.9,32.1
3400,05/13/2021,19,4.77,19.4,31.7,21.2,5.64,-21.7,29.6,37.1
3600,05/13/2021,15,0.156,-12.2,24.5,18.1,10,-28.2,26,32.2
4400,05/13/2021,6.74,-29.6,-25.7,21.6,12.3,10.4,1.49,19.7,24.9
900,05/14/2021,13.1,7.7,-19.1,21.3,17.7,1.94,-37.9,24.8,29.5
2500,05/14/2021,14.8,1.63,0.114,29.6,23.1,15.3,-37.3,28.1,32.9
3400,05/14/2021,19.7,8.04,21.5,31,20.7,9.45,-20.5,29.9,38
3600,05/14/2021,15,1.99,-9.93,25.4,18.8,6.19,-29.1,27.1,33.7
4400,05/14/2021,11.4,-21.9,-9.64,31.8,13,11,7.61,25.6,36.8
900,05/15/2021,12.2,11.5,-13.7,20.2,14.9,-1.59,-35.4,22.8,28.1
2500,05/15/2021,13.6,2.78,1.89,29.5,19.7,12.2,-34.8,27.7,35.5
3400,05/15/2021,17.6,9.89,18.2,28.4,16.3,6.23,-20.8,27,36.5
3600,05/15/2021,14.1,2.53,-7.44,23.8,15.3,-0.545,-29.6,25.3,33.3
4400,05/15/2021,9.4,-21.4,-9.83,28.2,7,11.6,3.45,27.4,47.9
900,05/16/2021,12.8,11.5,-11.1,26,16.8,-2.74,-33,25.9,31.9
2500,05/16/2021,15.3,-0.234,7.86,35.1,23.1,13.2,-34.4,33,42.9
3400,05/16/2021,18.3,7.98,17.4,32.5,19.5,8.04,-20.1,30.5,40.3
3600,05/16/2021,15.3,0.575,-7.47,27.7,19.1,-1.09,-29.6,29.2,37.3
4400,05/16/2021,13.3,-21.9,-6.6,30.8,8,12.1,6.66,30.2,52.5
900,05/17/2021,13.5,11,-8.76,25.2,17.6,0.84,-27,26.8,32.9
2500,05/17/2021,17.2,0.0058,12.5,36.2,23.4,17.1,-32.9,34.6,46.1
3400,05/17/2021,19.6,7.46,21.3,32.8,20.6,8.97,-20.6,31.6,41.4
3600,05/17/2021,16.5,0.571,-5.36,27.3,19.9,3.06,-26.8,29.6,37.5
4400,05/17/2021,13.4,-24.7,19.6,38.1,6.21,0.339,1.28,37,68.2
900,05/18/2021,14.3,11.5,-3.24,27.4,20.8,4.61,-27,27.7,32.3
2500,05/18/2021,18.7,0.0619,17.8,38.3,26.7,16.3,-29.5,37.3,48.3
3400,05/18/2021,21.3,8.92,22.2,37.1,23.3,9.24,-18.5,35,45.4
3600,05/18/2021,17.3,1.17,-4.01,29.6,22.9,0.669,-26.7,32.3,40
4400,05/18/2021,19.2,-19.9,26.7,39.8,9.75,-6.69,-1.19,45.7,82
900,05/19/2021,14.1,15.6,-5.31,26.2,17.8,6.66,-26.4,24.5,29
2500,05/19/2021,17.3,4.05,19,35.2,24.2,19.1,-29.7,33.5,42.9
3400,05/19/2021,20.7,14.2,22.6,33.7,20.9,10.5,-17.9,31.2,40.4
3600,05/19/2021,16.3,5.18,-5.2,27,20.1,1.76,-24.7,28.4,35.1
4400,05/19/2021,22.5,-12.6,19.9,36.9,6.36,23.2,25.4,48.7,91.1
900,05/20/2021,14.1,15.3,-2.66,26.9,17.5,6.36,-25,23.1,26.8
2500,05/20/2021,17.5,4.71,21.7,33.6,23.5,15.2,-27.7,32.9,42.7
3400,05/20/2021,20,13.9,24.7,32.6,20.4,13.1,-17.9,29.5,37.4
3600,05/20/2021,15,5.11,-6.47,25.8,19.6,5.32,-23.6,25.8,30.7
4400,05/20/2021,22.7,-3.17,-7.71,33,10.8,16.2,17.9,54.4,96.7
900,05/21/2021,13.8,15.1,-0.161,23.2,18.9,4.91,-24.7,21.8,23.6
2500,05/21/2021,17.3,6.36,22.7,32.2,22.9,16.1,-25.9,30.1,37.5
3400,05/21/2021,18.9,13,27.3,31.6,19.9,10.7,-17.2,27.6,34.4
3600,05/21/2021,14.6,5.48,-9.62,23.2,19.7,7.61,-21,23.7,26.8
4400,05/21/2021,22.1,-2.98,-17.4,22.6,10.2,39.7,7.42,52,90
900,05/22/2021,13.7,14.2,-0.592,21,17.7,10,-24.9,20.3,21.9
2500,05/22/2021,17.8,6.92,27.7,29.3,22.2,22.1,-23.4,26.5,30.9
3400,05/22/2021,19.4,12.2,35.5,30.1,19,15.1,-14.5,25.9,32
3600,05/22/2021,14.6,6.22,-8.83,21.8,19.3,10.1,-19.1,21.9,23.8
4400,05/22/2021,23.1,-0.0315,-4.75,23.3,11.8,62.9,24.9,52.4,87.7
900,05/23/2021,13.9,13.7,0.113,18.5,16.2,12.1,-21.8,18.8,20.5
2500,05/23/2021,16.6,8.1,28.7,24.3,20.4,21.7,-20.4,20.6,20.7
3400,05/23/2021,19.7,12.4,42.5,28.5,16.8,14.5,-13.9,24.2,30.9
3600,05/23/2021,13.7,7.01,-9.62,19.8,16.6,9.85,-16.3,18.3,19.6
4400,05/23/2021,24.2,2.6,-13.1,23.7,11.3,34.9,33.4,54.3,91.5
900,05/24/2021,13.8,13.4,1.27,17.1,15.6,11.8,-21.8,16.7,17.4
2500,05/24/2021,15,7.67,23.2,20.2,18.2,14,-20.5,18.4,18.6
3400,05/24/2021,17.9,10.6,41.7,26,11.5,14.6,-13,20.4,28.4
3600,05/24/2021,12.7,6.99,-8.87,17.9,12.9,8.03,-17.8,15.7,17.9
4400,05/24/2021,19.9,6.64,-16.7,12.4,12.5,37,20.4,39.7,61.8
900,05/25/2021,13.4,14.2,0.679,13.9,11.2,12.4,-22.3,14.3,16.4
2500,05/25/2021,15.3,7.64,20.4,19.1,15.9,21.8,-20.4,16.8,17.5
3400,05/25/2021,17.5,11.6,42.8,23.8,9.31,17.7,-12.7,18.3,26.4
3600,05/25/2021,13.2,9.38,-8.16,17.6,10.8,10.3,-16.2,14.3,17.1
4400,05/25/2021,22,7.06,-22,12.1,7.75,89.6,45,32.8,53.9
900,05/26/2021,14.9,16.7,2.56,15,14.2,14.2,-21.3,16.1,17.3
2500,05/26/2021,16.2,7.72,14.7,16.8,17.7,22.5,-21.5,16.8,15.7
3400,05/26/2021,18.2,12.4,42.1,23.7,10.7,17.9,-10.9,19,26.6
3600,05/26/2021,13.8,10.3,-10.3,16.2,12,10.4,-15.3,14.3,16.1
4400,05/26/2021,24.3,7.31,-12.2,11.8,11.1,54.8,57.3,39.9,63.8
900,05/27/2021,14,15.9,0.419,14.6,14.7,12.3,-21.4,15.4,15.9
2500,05/27/2021,17.2,7.61,5.38,20.1,19,20.2,-19.6,18.4,17.6
3400,05/27/2021,18.4,12.6,37.4,22.5,11.6,19.3,-11,19.1,25.9
3600,05/27/2021,14.4,10.1,-8.93,16.9,12.4,9.35,-13.9,15.6,18
4400,05/27/2021,24.2,3.97,-17.6,17.4,11.2,26.6,77.5,43.3,71.1
900,05/28/2021,14.1,14.1,-1.53,16.1,15.6,15.4,-22.7,16.5,17.2
2500,05/28/2021,19,8.75,7.69,20.3,21.9,21.4,-18.8,20.5,19
3400,05/28/2021,19,12.9,34,22.3,13.3,19.5,-10.3,19.9,26
3600,05/28/2021,15.6,10.1,-6.76,17.9,13.4,10.8,-12.5,16.9,19.6
4400,05/28/2021,22.3,1.33,-23.6,27,12.6,-2.14,89,37.6,59.8
900,05/29/2021,13.8,13.6,-0.996,16.6,17.2,15.3,-23.5,17.3,17.5
2500,05/29/2021,18,8.65,7.1,19.6,22.4,23.5,-20.4,21.3,20.3
3400,05/29/2021,18.7,12,32.6,22.9,15.1,16.6,-11,20.5,25.5
3600,05/29/2021,15.7,8.92,-9.91,17.7,14.3,11.1,-12.9,18,20.9
4400,05/29/2021,19.4,-1.99,-31.6,16.6,14.8,-19.6,57.4,29,40
900,05/30/2021,13.3,13.4,0.262,16.7,17.9,16.6,-28.4,16.9,16.3
2500,05/30/2021,17.2,9.15,8.04,20.4,20.7,24.2,-21.7,22,23.2
3400,05/30/2021,17.6,11.9,29.5,22.3,15,17.1,-11.4,20.2,24.9
3600,05/30/2021,16,8.88,-7.15,17.7,14.7,10,-16.2,19.7,23.7
4400,05/30/2021,10.8,-8.25,-27.5,12.8,14.1,46.6,28.6,21.2,27.2
900,05/31/2021,16.8,20.8,0.561,18.2,21.4,17,-23.1,18.5,16.8
2500,05/31/2021,16.8,8.8,18.1,18.3,16.8,33.4,-24.8,17.7,18.4
3400,05/31/2021,18.2,11.8,32.8,20.2,10.6,21.3,-4.66,17.2,23.2
3600,05/31/2021,14.3,7.1,-7.82,13.5,12.4,5.64,-14.2,14.7,16.5
4400,05/31/2021,21,-6.27,-27.5,3.17,10.7,38.3,47.1,18.1,23.1
900,06-01-2021,12.7,14.5,-0.176,22.1,24.5,10.6,-30.2,23.4,22.7
2500,06-01-2021,17.7,12.3,3.2,24.3,26.9,20,-24.4,26.6,26.4
3400,06-01-2021,19.5,16.9,23,30,22.5,16.4,-7.74,28.3,33.4
3600,06-01-2021,16.1,9.85,-9.57,20.9,20.6,6.17,-18.1,25.4,29.3
4400,06-01-2021,13.2,-9.1,-39.5,16.2,20.4,-23.2,51.1,38.9,53
900,06-02-2021,12.2,14.5,-1.8,20.2,23.5,10.9,-30.4,22.4,21.7
2500,06-02-2021,17.4,12.6,8.98,26,24.1,21,-25.4,26.7,29.1
3400,06-02-2021,19.5,17.5,27.3,30.6,19.6,17.6,-5.49,27.3,34.1
3600,06-02-2021,16.4,9.46,-6.67,22.9,19.2,6.13,-18.6,25.8,31
4400,06-02-2021,7.4,-13.5,-50.8,18.9,19.6,-32.5,22,26.2,30.8
900,06-03-2021,11,12,-5.31,21.1,21.1,11.2,-30.2,22,22.5
2500,06-03-2021,15.1,12.7,13.7,23.9,21.5,16.8,-30.5,24.6,27.6
3400,06-03-2021,18.7,17.8,24.4,32.7,17.2,13.3,-3.55,27.2,35.9
3600,06-03-2021,16.2,9.72,-7.5,23.4,17.9,4.28,-20.2,24.9,30.6
4400,06-03-2021,3.75,-14.1,-45.4,17.1,17.2,-21.3,-3.85,15.6,13.2
900,06-04-2021,11.9,14.6,-5.9,23.2,22.4,10.6,-26.9,22.4,22.4
2500,06-04-2021,13.6,10.4,13.8,27.1,18.8,20.3,-31.3,24.5,29.8
3400,06-04-2021,18.4,18.3,27.7,34,15.2,14,-3.17,26.7,36.8
3600,06-04-2021,14.3,8.52,-11.5,23.5,16.2,4.07,-22.8,23.8,29.8
4400,06-04-2021,7.07,-13.8,-47.9,11.1,19.2,43.9,-30.7,22.2,24.2
900,06-05-2021,11.1,15,-11,23.9,21.4,9.01,-28.5,21.8,22.1
2500,06-05-2021,13.6,10,14.6,25.8,18.6,16.4,-32.4,23.4,28
3400,06-05-2021,18.6,19.4,30,35,13.9,14.4,-1.83,26.5,37.5
3600,06-05-2021,13.6,9.48,-9.17,23.7,15.9,3.92,-24.7,23.1,28.8
4400,06-05-2021,8.51,-15.9,-38.1,18.6,15.3,5.97,-7.12,25.2,34.4
900,06-06-2021,11,15.8,-13.9,24.8,22.6,8.64,-25.4,22.7,22.8
2500,06-06-2021,14.2,9.49,13.3,26.4,20.1,14.5,-33.6,24.9,29.5
3400,06-06-2021,19.3,20.1,32,36.4,14.1,15.4,0.552,27.1,38.3
3600,06-06-2021,13,9.17,-7.12,24.1,16.7,4.69,-24.8,22.9,27.8
4400,06-06-2021,12.5,-14.3,-39.2,15.5,16.4,-3.63,5.03,31.2,45
900,06-07-2021,11.5,13.9,-16,24.1,19.1,8.56,-21.2,20.6,21.5
2500,06-07-2021,14.6,8.92,9.72,25.8,18.6,14.1,-33.7,24.7,30.7
3400,06-07-2021,21.3,19,31,37,16.3,16.5,3.8,28.4,38.9
3600,06-07-2021,13.6,8.28,-8.82,23,16.4,7.81,-21.5,22.2,26.8
4400,06-07-2021,11.7,-14.8,-24.9,17.8,16,34.5,9.25,32.2,46.9
900,06-08-2021,10.9,12.7,-16.2,26.2,18.1,5.82,-18.6,20.8,22.5
2500,06-08-2021,14.3,8.13,16.4,27.1,18.6,10.9,-33.1,26.1,33.3
3400,06-08-2021,20.3,17.1,36.4,36.6,14.5,14.8,3.8,27.1,38.3
3600,06-08-2021,13.6,7.16,-8.75,25.6,15.9,6.52,-22.4,22.5,27.8
4400,06-08-2021,11.4,-16,-36.3,18.6,17.3,-33.7,13,28.3,38.4
900,06-09-2021,10.6,11.7,-18.1,29.1,20.4,3.98,-19.7,22.5,23.9
2500,06-09-2021,14.7,8.2,14.1,28.7,20.2,12.5,-31.1,27.3,34.2
3400,06-09-2021,19.3,15.5,31.2,37.1,14.4,14.6,3.16,27.1,38.4
3600,06-09-2021,12.8,6.9,-10.3,25.5,16,5.64,-22.2,23,28.7
4400,06-09-2021,14.3,-9.48,-27.4,16.9,17.6,5.22,13.1,31.1,43.8
900,06-10-2021,11,13.9,-16.8,26.5,20.2,4.17,-19.4,21.8,22.9
2500,06-10-2021,15.8,8.34,17.1,27.4,22.2,21.5,-31.4,28.1,33.8
3400,06-10-2021,20.1,15.2,38.1,37.9,14.5,19.3,2.21,27.9,40
3600,06-10-2021,12.9,6.35,-7.43,25.2,15.8,7.52,-19.7,22.9,28.7
4400,06-10-2021,14.2,-7.35,-19.9,14.4,12.1,8.17,-0.652,26.6,39.8
900,06-11-2021,10.6,14.2,-13.6,23.5,18.4,10.2,-21.6,21.3,23.3
2500,06-11-2021,15.6,8.09,16.1,20,20.9,21,-32,24.9,28.7
3400,06-11-2021,19.2,13.7,34.3,36.8,12.6,20.3,2.42,26.4,38.9
3600,06-11-2021,12.7,6.06,-5.09,24.1,14.9,5.69,-19.8,21.9,27.6
4400,06-11-2021,10.6,-10.1,-3.96,13.4,11.1,11.1,46.1,24.5,36.7
900,06-12-2021,11,12.9,-9.94,22.6,17.4,12,-19.7,20.5,22.5
2500,06-12-2021,14.7,6.34,8.12,23.6,19,19.3,-30.6,23.9,28.6
3400,06-12-2021,18.5,12.2,30.6,35.5,9.64,21.1,1.79,25,38.8
3600,06-12-2021,12.4,4.28,-7.82,23,12.8,6.79,-16.5,20.6,27.1
4400,06-12-2021,14,-8.7,-4.78,11.9,11.9,14.1,24.5,27.3,41.4
900,06/13/2021,11.1,12,-6.32,18.9,15.7,14.2,-18.7,18.7,20.7
2500,06/13/2021,15,6.97,4.66,23.2,19.4,22.8,-28.7,22.8,25.9
3400,06/13/2021,19,13.6,29.7,35.2,8.06,20.9,2.76,24.6,39.6
3600,06/13/2021,13,2.62,-8.21,22.1,11.3,6.42,-13.7,20.1,27.5
4400,06/13/2021,16.3,-10.4,3.6,15.7,11,17,35.2,26,40.1
900,06/14/2021,10.2,13,-4.67,16.4,16.1,16.7,-23.1,17.4,18.3
2500,06/14/2021,14.4,6.41,4.78,20.8,18,25.8,-26.1,21.3,24.5
3400,06/14/2021,15.8,12.4,31.1,30.6,2.82,18.6,-1.68,19.7,35
3600,06/14/2021,12.8,2.93,-9,20.9,10.2,7.58,-12.2,19.3,26.9
4400,06/14/2021,17.5,-11.3,-6.53,13.8,12,4.09,27.2,26.1,39.5
900,06/15/2021,9.75,14.5,-6.15,15.3,15,20.7,-25.5,16.4,17.4
2500,06/15/2021,15.1,8.15,7.3,18.6,18.2,24.5,-26.1,19.3,20.3
3400,06/15/2021,15.6,12.1,29.1,29.2,3.15,18.8,-5.03,19.4,34.3
3600,06/15/2021,12.5,2.63,-6.47,19.4,9.01,8.47,-9.77,18.3,26.2
4400,06/15/2021,16.7,-8.47,16.9,17.3,18.2,-2.42,16,28.3,37.6
900,06/16/2021,9.74,13.3,-5.83,15,14.3,17,-23.5,17,18.9
2500,06/16/2021,15,6.69,8.24,18.8,20.7,17.8,-25.1,21.3,21.8
3400,06/16/2021,16.5,11.5,35.1,30.7,5.34,18.3,-7.49,21.5,36.4
3600,06/16/2021,13,0.895,-3.15,20.3,10.3,8.74,-8.66,19.5,27.2
4400,06/16/2021,14.6,-14.5,21.9,16.5,16.7,-7.79,9.64,24.1,30.5
900,06/17/2021,9.06,13.6,-6.84,15.9,15,11.3,-23.1,17.7,19.5
2500,06/17/2021,14.2,5.52,0.154,19.4,20.8,17.9,-24.2,21.2,21.4
3400,06/17/2021,16.1,11.9,31.5,30,8.49,13.2,-7.7,22.4,35.1
3600,06/17/2021,12.9,1.45,-5.26,21.2,12.4,6.87,-7.57,20.3,26.8
4400,06/17/2021,15.6,-19.4,9.5,22,22.6,-3.06,70.5,27.8,32.2
900,06/18/2021,10.1,12.8,-5.54,20.3,19.2,11.1,-23.4,20.9,22.1
2500,06/18/2021,15.4,7.36,5.45,23.8,24.1,12.8,-22.5,24.5,24.8
3400,06/18/2021,17.8,13.8,34.1,32.7,13.2,12.4,-7.63,25.8,37.4
3600,06/18/2021,14.4,3.35,-3.98,24.2,15.8,8.44,-5.44,23.2,29.3
4400,06/18/2021,16.1,-20.1,12.1,24.2,22.6,-8.13,40.5,28.6,34.1
900,06/19/2021,9.8,12.8,-7.05,21.8,21.4,5.04,-23.6,22.4,23.2
2500,06/19/2021,17.1,7.77,12.3,21.3,27.9,15.3,-22.8,27.2,26.6
3400,06/19/2021,18.5,13.7,37.3,34.1,18.1,11.9,-9.43,28.4,37.8
3600,06/19/2021,15.6,4.55,-1.3,27.1,19.5,7.02,-6.6,26,31.4
4400,06/19/2021,14.9,-17.5,22.7,21.9,22.6,-18.4,44.9,27.4,32
900,06/20/2021,8.49,13.6,-7.43,23.1,23,3.84,-26.2,20.8,19.3
2500,06/20/2021,16.2,7.48,18,18.9,27.2,10.6,-24,27.3,27.3
3400,06/20/2021,17.8,12.9,41.1,31.4,20.6,12,-11.8,28.2,35.2
3600,06/20/2021,15.1,6.68,0.0464,25.9,21,7.19,-8.1,25.5,29.1
4400,06/20/2021,15.2,-14.7,21.8,24.6,25.7,-29.9,33.1,30.1,34.6
900,06/21/2021,8.07,11.9,-8.54,24.5,21.9,1.38,-25.4,22.2,22.4
2500,06/21/2021,16.6,8.23,19.2,19.8,28.6,6.99,-28.4,28,27.4
3400,06/21/2021,18.9,13.9,40.4,32.3,22.2,11.5,-10.6,29.1,35.5
3600,06/21/2021,14.9,6.49,1.53,27.2,20.4,6.4,-9.12,24.8,28.4
4400,06/21/2021,18,-12.6,41.8,27,25.2,-31.3,23.5,31.8,38.4
900,06/22/2021,9.03,11.6,-3.58,26.2,24.1,1.04,-28.4,24.2,24.3
2500,06/22/2021,16.5,8.36,15.8,21.4,28,4.77,-27.5,29.4,30.7
3400,06/22/2021,19.8,14.5,45.6,34.7,23.3,11,-10.3,30.9,37.9
3600,06/22/2021,15.6,6.84,1.14,28.5,22.1,3.82,-9,25.8,28.6
4400,06/22/2021,15,-15.6,18.2,26.6,14.7,-33.8,-36.9,29.2,44.2
900,06/23/2021,9.05,13.2,-1.85,25.5,24.6,4.19,-29.2,23.2,22.3
